Beltrami,MN,22,34504,43609
Ben Hill,GA,9,16217,17650
Benewah,ID,11,7944,9243
Bennett,SD,40,3194,3441
Bennington,VT,44,35854,36452
Benson,ND,33,7193,6971
Bent,CO,5,5028,5844
Benton,AR,3,98524,203107
Benton,IA,14,22425,26546
Benton,IN,13,9453,8810
Benton,MN,22,30359,39504
Benton,MO,24,13939,18470
Benton,MS,23,8028,8037
Benton,OR,36,71059,81428
Benton,TN,41,14580,16267
Benton,WA,46,113583,159414
Benzie,MI,21,12251,17510
Bergen,NJ,29,826129,895744
Berkeley,SC,39,129373,163622
Berkeley,WV,47,59839,99734
Berks,PA,37,337812,401955
Berkshire,MA,20,139423,129798
Bernalillo,NM,30,482696,629292
Berrien,GA,9,14153,16722
Berrien,MI,21,161415,159589
Bertie,NC,32,20390,18601
Bethel,AK,1,13717,17199
Bexar,TX,42,1187775,1594493
Bibb,AL,0,16697,21535
Bibb,GA,9,150268,154709
Bienville,LA,17,16212,14907
Big Horn,MT,25,11313,12798
Big Horn,WY,49,10487,11263
Big Stone,MN,22,6268,5385
Billings,ND,33,1090,798
Bingham,ID,11,37603,43466
Black Hawk,IA,14,124155,127446
Blackford,IN,13,14079,13189
Bladen,NC,32,28676,32301
Blaine,ID,11,13791,21560
Blaine,MT,25,6685,6550
Blaine,NE,26,662,448
Blaine,OK,35,11453,12475
Blair,PA,37,130593,125527
Blanco,TX,42,5964,9067
Bland,VA,45,6535,6883
Bleckley,GA,9,10463,12306
Bledsoe,TN,41,9711,13084
Blount,AL,0,39473,56614
Blount,TN,41,86317,119855
Blue Earth,MN,22,54179,59802
Boise,ID,11,3568,7571
Bolivar,MS,23,41874,37635
Bollinger,MO,24,10664,12118
Bon Homme,SD,40,7103,7071
Bond,IL,12,15027,18103
Bonner,ID,11,26767,41050
Bonneville,ID,11,72608,96545
Boone,AR,3,28360,36672
Boone,IA,14,25200,26391
Boone,IL,12,30981,53531
Boone,IN,13,38304,54137
Boone,KY,16,58123,112459
Boone,MO,24,112827,152435
Boone,NE,26,6668,5527
Boone,WV,47,25781,25201
Borden,TX,42,794,585
Bosque,TX,42,15131,17942
Bossier,LA,17,85957,108705
Botetourt,VA,45,25091,32005
Bottineau,ND,33,7952,6409
Boulder,CO,5,226374,290262
Boundary,ID,11,8345,10872
Bourbon,KS,15,14948,14803
Bourbon,KY,16,19247,19756
Bowie,TX,42,81992,91553
Bowman,ND,33,3578,2944
Box Butte,NE,26,13116,11001
Box Elder,UT,43,36568,47846
Boyd,KY,16,51072,48481
Boyd,NE,26,2830,2119
Boyle,KY,16,25605,28664
Bracken,KY,16,7801,8574
Bradford,FL,8,22605,28769
Bradford,PA,37,61078,61471
Bradley,AR,3,11808,11979
Bradley,TN,41,73990,95443
Branch,MI,21,41608,46194
Brantley,GA,9,11120,15440
Braxton,WV,47,13021,14639
Brazoria,TX,42,192644,294233
Brazos,TX,42,122352,170954
Breathitt,KY,16,15675,15651
Breckinridge,KY,16,16309,19086
Bremer,IA,14,22854,23734
Brevard,FL,8,403209,536161
Brewster,TX,42,8628,9239
Briscoe,TX,42,1946,1479
Bristol Bay,AK,1,1388,996
Bristol,MA,20,507221,543024
Bristol,RI,38,48915,50079
Bristol,VA,45,18455,17593
Broadwater,MT,25,3328,4590
Bronx,NY,31,1207053,1373659
Brooke,WV,47,26973,23661
Brookings,SD,40,25287,29241
Brooks,GA,9,15383,16340
Brooks,TX,42,8175,7589
Broome,NY,31,212252,195973
Broomfield,CO,5,0,53691
Broward,FL,8,1263301,1759591
Brown,IL,12,5851,6566
Brown,IN,13,14131,14670
Brown,KS,15,11132,10068
Brown,MN,22,26975,26013
Brown,NE,26,3656,3207
Brown,OH,34,35138,43956
Brown,SD,40,35528,35113
Brown,TX,42,34317,38585
Brown,WI,48,195491,243132
Brule,SD,40,5459,5190
Brunswick,NC,32,51271,99214
Brunswick,VA,45,15986,17811
Bryan,GA,9,15643,30132
Bryan,OK,35,32143,39563
Buchanan,IA,14,20842,20927
Buchanan,MO,24,83214,86485
Buchanan,VA,45,31224,23900
Buckingham,VA,45,12915,15932
Bucks,PA,37,543091,621144
Buena Vista,IA,14,19992,19776
Buena Vista,VA,45,6431,6482
Buffalo,NE,26,37603,44976
Buffalo,SD,40,1779,2111
Buffalo,WI,48,13558,13812
Bullitt,KY,16,47880,73931
Bulloch,GA,9,43412,66176
Bullock,AL,0,11032,10781
Buncombe,NC,32,175204,226771
Bureau,IL,12,35690,35036
Burke,GA,9,20514,22754
Burke,NC,32,76046,88975
Burke,ND,33,2956,1862
Burleigh,ND,33,60307,77316
Burleson,TX,42,13633,16598
Burlington,NJ,29,396180,446817
Burnet,TX,42,22654,43689
Burnett,WI,48,13128,16321
Burt,NE,26,7880,7059
Butler,AL,0,21886,20157
Butler,IA,14,15713,14660
Butler,KS,15,50672,63045
Butler,KY,16,11257,13256
Butler,MO,24,38863,41326
Butler,NE,26,8580,8377
Butler,OH,34,292903,357888
Butler,PA,37,152642,181934
Butte,CA,4,183652,218779
Butte,ID,11,2912,2771
Butte,SD,40,7923,9475
Butts,GA,9,15421,23759
Cabarrus,NC,32,99590,163262
Cabell,WV,47,96754,94435
Cache,UT,43,70460,108887
Caddo,LA,17,247804,252609
Caddo,OK,35,29421,29296
Calaveras,CA,4,32542,46844
Calcasieu,LA,17,168285,184512
Caldwell,KY,16,13217,12769
Caldwell,LA,17,9790,10307
Caldwell,MO,24,8384,9284
Caldwell,NC,32,70846,79454
Caldwell,TX,42,26277,36705
Caledonia,VT,44,27982,30655
Calhoun,AL,0,116118,113103
Calhoun,AR,3,5821,5535
Calhoun,FL,8,11044,13594
Calhoun,GA,9,5028,6098
Calhoun,IA,14,11501,9987
Calhoun,IL,12,5340,5167
Calhoun,MI,21,136226,136615
Calhoun,MS,23,14930,14591
Calhoun,SC,39,12792,14777
Calhoun,TX,42,19065,20352
Calhoun,WV,47,7881,7201
Callahan,TX,42,11772,13508
Callaway,MO,24,32943,43428
Calloway,KY,16,30806,36189
Calumet,WI,48,34373,44323
Calvert,MD,19,51954,88223
Camas,ID,11,739,1102
Cambria,PA,37,162938,144995
Camden,GA,9,30734,48689
Camden,MO,24,27646,40487
Camden,NC,32,5937,9490
Camden,NJ,29,503524,513769
Cameron,LA,17,9239,7414
Cameron,PA,37,5902,5349
Cameron,TX,42,261728,387210
Camp,TX,42,9915,12557
Campbell,KY,16,84077,86858
Campbell,SD,40,1958,1397
Campbell,TN,41,35178,40771
Campbell,VA,45,47721,52840
Campbell,WY,49,29403,40433
Canadian,OK,35,74662,103559
Candler,GA,9,7790,10550
Cannon,TN,41,10517,13432
Canyon,ID,11,90676,179381
Cape Girardeau,MO,24,61794,72740
Cape May,NJ,29,95368,96422
Carbon,MT,25,8077,9721
Carbon,PA,37,56978,63242
Carbon,UT,43,20146,19634
Carbon,WY,49,16608,15486
Caribou,ID,11,6958,6862
Carlisle,KY,16,5218,5166
Carlton,MN,22,29321,33893
Caroline,MD,19,27125,32910
Caroline,VA,45,19341,27282
Carroll,AR,3,18770,27429
Carroll,GA,9,71875,111954
Carroll,IA,14,21415,20923
Carroll,IL,12,16800,15928
Carroll,IN,13,18823,19987
Carroll,KY,16,9311,10527
Carroll,MD,19,124086,169220
Carroll,MO,24,10737,9859
Carroll,MS,23,9256,10304
Carroll,NH,28,35592,47380
Carroll,OH,34,26541,28516
Carroll,TN,41,27574,28919
Carroll,VA,45,26625,29120
Carson City,NV,27,40714,54939
Carson,TX,42,6553,6358
Carter,KY,16,24389,27424
Carter,MO,24,5524,5929
Carter,MT,25,1489,1268
Carter,OK,35,42899,47582
Carter,TN,41,51668,59198
Carteret,NC,32,52687,63238
Carver,MN,22,48409,88459
Cascade,MT,25,77788,81775
Casey,KY,16,14193,16169
Cass,IA,14,15110,13884
Cass,IL,12,13447,13727
Cass,IN,13,38458,39193
Cass,MI,21,49521,50551
Cass,MN,22,21869,28723
Cass,MO,24,64155,97133
Cass,ND,33,103298,137582
Cass,NE,26,21359,25577
Cass,TX,42,29972,29362
Cassia,ID,11,19601,20960
Castro,TX,42,9007,7210
Caswell,NC,32,20671,23261
Catahoula,LA,17,11020,10452
Catawba,NC,32,118945,155646
Catoosa,GA,9,42693,62241
Catron,NM,30,2580,3431
Cattaraugus,NY,31,84455,80087
Cavalier,ND,33,6041,3911
Cayuga,NY,31,82446,80066
Cecil,MD,19,71866,99695
Cedar,IA,14,17447,17990
Cedar,MO,24,12130,13729
Cedar,NE,26,10130,8530
Centre,PA,37,125231,144658
Cerro Gordo,IA,14,46773,44016
Chaffee,CO,5,12696,16781
Chambers,AL,0,36884,34764
Chambers,TX,42,20144,28771
Champaign,IL,12,173341,190260
Champaign,OH,34,36110,39522
Chariton,MO,24,9181,7843
Charles City,VA,45,6300,7166
Charles Mix,SD,40,9119,8953
Charles,MD,19,101751,140444
Charleston,SC,39,295631,342973
Charlevoix,MI,21,21593,26181
Charlotte,FL,8,112821,152814
Charlotte,VA,45,11708,12333
Charlottesville,VA,45,40831,41228
Charlton,GA,9,8511,10609
Chase,KS,15,2997,2882
Chase,NE,26,4404,3698
Chatham,GA,9,217531,248469
Chatham,NC,32,39216,61455
Chattahoochee,GA,9,16729,9430
Chattooga,GA,9,22287,26797
Chautauqua,KS,15,4384,3806
Chautauqua,NY,31,142054,133945
Chaves,NM,30,58033,62595
Cheatham,TN,41,27310,39112
Cheboygan,MI,21,21514,26768
Chelan,WA,46,52476,70993
Chemung,NY,31,95292,88015
Chenango,NY,31,51813,51207
Cherokee,AL,0,19643,24560
Cherokee,GA,9,91323,204363
Cherokee,IA,14,14107,11686
Cherokee,KS,15,21316,21337
Cherokee,NC,32,20226,26499
Cherokee,OK,35,34170,45393
Cherokee,SC,39,44657,54015
Cherokee,TX,42,41069,48169
Cherry,NE,26,6283,5718
Chesapeake,VA,45,153335,219154
Cheshire,NH,28,70255,77725
Chester,PA,37,377832,486345
Chester,SC,39,32204,32531
Chester,TN,41,12845,16142
Chesterfield,SC,39,38667,42761
Chesterfield,VA,45,211727,299689
Cheyenne,CO,5,2395,1763
Cheyenne,KS,15,3226,2801
Cheyenne,NE,26,9488,9972
Chickasaw,IA,14,13288,12215
Chickasaw,MS,23,18157,18974
Chicot,AR,3,15630,12305
Childress,TX,42,5958,7556
Chilton,AL,0,32550,42299
Chippewa,MI,21,34788,38922
Chippewa,MN,22,13209,12465
Chippewa,WI,48,52394,60402
Chisago,MN,22,30685,50128
Chittenden,VT,44,132143,151826
Choctaw,AL,0,15994,14173
Choctaw,MS,23,9096,9052
Choctaw,OK,35,15317,15011
